Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,6,106,9,Some Random Comment with Id 0
1,0,6,93,3,Some Random Comment with Id 1
2,0,6,111,1,Some Random Comment with Id 2
3,0,6,4,7,Some Random Comment with Id 3
4,0,6,198,6,Some Random Comment with Id 4
5,0,6,149,9,Some Random Comment with Id 5
6,0,6,154,7,Some Random Comment with Id 6
7,0,6,30,3,Some Random Comment with Id 7
8,3,6,12,7,Some Random Comment with Id 8
9,3,6,49,8,Some Random Comment with Id 9
10,4,4,76,1,Some Random Comment with Id 10
11,4,4,83,9,Some Random Comment with Id 11
12,5,2,175,6,Some Random Comment with Id 12
13,5,2,160,2,Some Random Comment with Id 13
14,6,3,58,6,Some Random Comment with Id 14
15,6,3,40,1,Some Random Comment with Id 15
16,6,3,188,6,Some Random Comment with Id 16
17,6,3,0,9,Some Random Comment with Id 17
18,8,0,43,1,Some Random Comment with Id 18
19,8,0,49,2,Some Random Comment with Id 19
20,8,0,169,4,Some Random Comment with Id 20
21,8,0,112,7,Some Random Comment with Id 21
22,8,0,100,6,Some Random Comment with Id 22
23,8,0,2,5,Some Random Comment with Id 23
24,8,0,29,5,Some Random Comment with Id 24
25,8,0,193,6,Some Random Comment with Id 25
26,8,0,102,2,Some Random Comment with Id 26
27,9,6,86,9,Some Random Comment with Id 27
28,9,6,44,3,Some Random Comment with Id 28
29,9,6,99,3,Some Random Comment with Id 29
30,10,7,182,5,Some Random Comment with Id 30
31,10,7,58,2,Some Random Comment with Id 31
32,10,7,104,2,Some Random Comment with Id 32
33,10,7,90,8,Some Random Comment with Id 33
34,10,7,35,2,Some Random Comment with Id 34
35,10,7,55,4,Some Random Comment with Id 35
36,10,7,75,2,Some Random Comment with Id 36
37,13,1,147,1,Some Random Comment with Id 37
38,13,1,180,7,Some Random Comment with Id 38
39,14,5,15,4,Some Random Comment with Id 39
40,14,5,188,0,Some Random Comment with Id 40
41,14,5,56,7,Some Random Comment with Id 41
42,14,5,51,2,Some Random Comment with Id 42
43,14,5,98,8,Some Random Comment with Id 43
44,14,5,136,9,Some Random Comment with Id 44
45,14,5,91,3,Some Random Comment with Id 45
46,15,0,103,7,Some Random Comment with Id 46
47,15,0,62,0,Some Random Comment with Id 47
48,15,0,73,9,Some Random Comment with Id 48
49,15,0,64,6,Some Random Comment with Id 49
50,15,0,146,4,Some Random Comment with Id 50
51,15,0,13,7,Some Random Comment with Id 51
52,15,0,154,3,Some Random Comment with Id 52
53,15,0,169,7,Some Random Comment with Id 53
54,16,3,145,2,Some Random Comment with Id 54
55,16,3,118,9,Some Random Comment with Id 55
56,16,3,66,7,Some Random Comment with Id 56
57,18,7,151,9,Some Random Comment with Id 57
58,18,7,167,2,Some Random Comment with Id 58
59,18,7,162,8,Some Random Comment with Id 59
60,18,7,135,6,Some Random Comment with Id 60
61,18,7,186,2,Some Random Comment with Id 61
62,18,7,169,5,Some Random Comment with Id 62
63,18,7,55,5,Some Random Comment with Id 63
64,18,7,64,5,Some Random Comment with Id 64
65,19,2,16,3,Some Random Comment with Id 65
