Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,5,1,0,Some Random Comment with Id 0
1,0,5,180,8,Some Random Comment with Id 1
2,1,9,40,6,Some Random Comment with Id 2
3,1,9,76,9,Some Random Comment with Id 3
4,1,9,146,3,Some Random Comment with Id 4
5,1,9,80,1,Some Random Comment with Id 5
6,1,9,12,9,Some Random Comment with Id 6
7,1,9,181,5,Some Random Comment with Id 7
8,1,9,135,3,Some Random Comment with Id 8
9,1,9,186,7,Some Random Comment with Id 9
10,1,9,15,8,Some Random Comment with Id 10
11,2,9,141,6,Some Random Comment with Id 11
12,2,9,79,8,Some Random Comment with Id 12
13,3,9,61,0,Some Random Comment with Id 13
14,4,2,167,2,Some Random Comment with Id 14
15,4,2,168,1,Some Random Comment with Id 15
16,4,2,33,1,Some Random Comment with Id 16
17,4,2,148,1,Some Random Comment with Id 17
18,4,2,10,5,Some Random Comment with Id 18
19,4,2,185,3,Some Random Comment with Id 19
20,4,2,56,2,Some Random Comment with Id 20
21,4,2,98,6,Some Random Comment with Id 21
22,5,9,109,5,Some Random Comment with Id 22
23,5,9,94,6,Some Random Comment with Id 23
24,5,9,137,5,Some Random Comment with Id 24
25,5,9,63,9,Some Random Comment with Id 25
26,5,9,183,3,Some Random Comment with Id 26
27,5,9,16,0,Some Random Comment with Id 27
28,5,9,93,7,Some Random Comment with Id 28
29,5,9,102,2,Some Random Comment with Id 29
30,6,2,95,7,Some Random Comment with Id 30
31,6,2,51,7,Some Random Comment with Id 31
32,7,7,180,8,Some Random Comment with Id 32
33,7,7,125,0,Some Random Comment with Id 33
34,7,7,101,9,Some Random Comment with Id 34
35,8,6,97,0,Some Random Comment with Id 35
36,10,7,110,8,Some Random Comment with Id 36
37,10,7,127,7,Some Random Comment with Id 37
38,10,7,190,5,Some Random Comment with Id 38
39,10,7,31,4,Some Random Comment with Id 39
40,11,3,90,0,Some Random Comment with Id 40
41,11,3,73,0,Some Random Comment with Id 41
42,11,3,11,3,Some Random Comment with Id 42
43,11,3,64,5,Some Random Comment with Id 43
44,11,3,106,1,Some Random Comment with Id 44
45,11,3,38,8,Some Random Comment with Id 45
46,12,7,130,3,Some Random Comment with Id 46
47,12,7,185,3,Some Random Comment with Id 47
48,12,7,155,1,Some Random Comment with Id 48
49,12,7,4,9,Some Random Comment with Id 49
50,12,7,184,6,Some Random Comment with Id 50
51,12,7,195,0,Some Random Comment with Id 51
52,12,7,124,5,Some Random Comment with Id 52
53,12,7,167,0,Some Random Comment with Id 53
54,13,6,20,8,Some Random Comment with Id 54
55,13,6,27,7,Some Random Comment with Id 55
56,13,6,130,8,Some Random Comment with Id 56
57,13,6,149,6,Some Random Comment with Id 57
58,13,6,53,4,Some Random Comment with Id 58
59,13,6,97,7,Some Random Comment with Id 59
60,14,1,152,6,Some Random Comment with Id 60
61,14,1,104,9,Some Random Comment with Id 61
62,14,1,26,8,Some Random Comment with Id 62
63,14,1,42,7,Some Random Comment with Id 63
64,14,1,184,7,Some Random Comment with Id 64
65,14,1,63,5,Some Random Comment with Id 65
66,14,1,77,8,Some Random Comment with Id 66
67,14,1,167,3,Some Random Comment with Id 67
68,14,1,19,0,Some Random Comment with Id 68
69,15,4,161,6,Some Random Comment with Id 69
70,15,4,18,2,Some Random Comment with Id 70
71,15,4,90,2,Some Random Comment with Id 71
72,15,4,51,4,Some Random Comment with Id 72
73,15,4,57,1,Some Random Comment with Id 73
74,15,4,154,0,Some Random Comment with Id 74
75,15,4,136,4,Some Random Comment with Id 75
76,16,7,104,0,Some Random Comment with Id 76
77,16,7,108,6,Some Random Comment with Id 77
78,16,7,155,2,Some Random Comment with Id 78
79,16,7,87,3,Some Random Comment with Id 79
