Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,5,16,9,Some Random Commen with Id 0
1,1,0,145,0,Some Random Commen with Id 1
2,1,0,27,2,Some Random Commen with Id 2
3,1,0,132,1,Some Random Commen with Id 3
4,1,0,140,5,Some Random Commen with Id 4
5,1,0,72,6,Some Random Commen with Id 5
6,1,0,8,3,Some Random Commen with Id 6
7,1,0,132,2,Some Random Commen with Id 7
8,1,0,41,1,Some Random Commen with Id 8
9,1,0,131,1,Some Random Commen with Id 9
10,2,9,147,4,Some Random Commen with Id 10
11,2,9,102,7,Some Random Commen with Id 11
12,2,9,90,2,Some Random Commen with Id 12
13,2,9,13,4,Some Random Commen with Id 13
14,2,9,21,5,Some Random Commen with Id 14
15,2,9,110,9,Some Random Commen with Id 15
16,3,0,55,7,Some Random Commen with Id 16
17,4,7,12,3,Some Random Commen with Id 17
18,4,7,3,7,Some Random Commen with Id 18
19,4,7,15,7,Some Random Commen with Id 19
20,4,7,72,0,Some Random Commen with Id 20
21,4,7,174,0,Some Random Commen with Id 21
22,4,7,128,0,Some Random Commen with Id 22
23,4,7,134,0,Some Random Commen with Id 23
24,4,7,116,6,Some Random Commen with Id 24
25,4,7,1,9,Some Random Commen with Id 25
26,5,5,114,2,Some Random Commen with Id 26
27,5,5,28,4,Some Random Commen with Id 27
28,5,5,65,8,Some Random Commen with Id 28
29,5,5,23,1,Some Random Commen with Id 29
30,5,5,159,3,Some Random Commen with Id 30
31,6,4,135,6,Some Random Commen with Id 31
32,6,4,7,6,Some Random Commen with Id 32
33,6,4,95,8,Some Random Commen with Id 33
34,6,4,111,3,Some Random Commen with Id 34
35,6,4,34,0,Some Random Commen with Id 35
36,6,4,26,2,Some Random Commen with Id 36
37,6,4,60,2,Some Random Commen with Id 37
38,6,4,159,8,Some Random Commen with Id 38
39,6,4,65,2,Some Random Commen with Id 39
40,7,3,34,6,Some Random Commen with Id 40
41,7,3,48,0,Some Random Commen with Id 41
42,7,3,85,3,Some Random Commen with Id 42
43,7,3,160,2,Some Random Commen with Id 43
44,7,3,16,8,Some Random Commen with Id 44
45,8,2,89,8,Some Random Commen with Id 45
46,8,2,80,0,Some Random Commen with Id 46
47,8,2,29,1,Some Random Commen with Id 47
48,8,2,22,2,Some Random Commen with Id 48
49,8,2,51,9,Some Random Commen with Id 49
50,8,2,126,9,Some Random Commen with Id 50
51,8,2,68,6,Some Random Commen with Id 51
52,8,2,78,0,Some Random Commen with Id 52
53,9,8,66,6,Some Random Commen with Id 53
54,9,8,10,2,Some Random Commen with Id 54
55,9,8,103,6,Some Random Commen with Id 55
56,11,9,85,5,Some Random Commen with Id 56
57,11,9,167,9,Some Random Commen with Id 57
58,11,9,142,2,Some Random Commen with Id 58
59,11,9,67,1,Some Random Commen with Id 59
60,11,9,60,9,Some Random Commen with Id 60
61,11,9,192,8,Some Random Commen with Id 61
62,11,9,124,3,Some Random Commen with Id 62
63,11,9,97,9,Some Random Commen with Id 63
64,12,5,61,2,Some Random Commen with Id 64
65,12,5,192,1,Some Random Commen with Id 65
66,12,5,8,5,Some Random Commen with Id 66
67,12,5,37,0,Some Random Commen with Id 67
68,12,5,66,4,Some Random Commen with Id 68
69,12,5,164,3,Some Random Commen with Id 69
70,12,5,154,7,Some Random Commen with Id 70
71,14,1,146,7,Some Random Commen with Id 71
72,14,1,138,8,Some Random Commen with Id 72
73,14,1,41,8,Some Random Commen with Id 73
74,14,1,99,6,Some Random Commen with Id 74
75,14,1,25,5,Some Random Commen with Id 75
76,14,1,102,0,Some Random Commen with Id 76
77,14,1,68,0,Some Random Commen with Id 77
78,15,2,63,2,Some Random Commen with Id 78
79,15,2,174,3,Some Random Commen with Id 79
80,15,2,128,3,Some Random Commen with Id 80
81,16,4,134,3,Some Random Commen with Id 81
82,16,4,171,3,Some Random Commen with Id 82
83,16,4,180,6,Some Random Commen with Id 83
84,16,4,77,3,Some Random Commen with Id 84
85,16,4,17,1,Some Random Commen with Id 85
86,16,4,59,3,Some Random Commen with Id 86
87,16,4,183,2,Some Random Commen with Id 87
88,18,9,169,2,Some Random Commen with Id 88
89,18,9,43,5,Some Random Commen with Id 89
90,18,9,54,3,Some Random Commen with Id 90
91,18,9,194,2,Some Random Commen with Id 91
92,18,9,87,8,Some Random Commen with Id 92
93,19,0,115,5,Some Random Commen with Id 93
94,19,0,186,9,Some Random Commen with Id 94
95,19,0,21,2,Some Random Commen with Id 95
96,19,0,190,2,Some Random Commen with Id 96
97,19,0,69,0,Some Random Commen with Id 97
98,19,0,54,4,Some Random Commen with Id 98
99,21,0,118,4,Some Random Commen with Id 99
100,21,0,6,0,Some Random Commen with Id 100
101,21,0,46,8,Some Random Commen with Id 101
102,21,0,189,1,Some Random Commen with Id 102
103,21,0,120,2,Some Random Commen with Id 103
104,21,0,119,7,Some Random Commen with Id 104
105,21,0,38,4,Some Random Commen with Id 105
106,21,0,12,4,Some Random Commen with Id 106
107,22,2,91,3,Some Random Commen with Id 107
108,23,1,132,8,Some Random Commen with Id 108
109,23,1,37,5,Some Random Commen with Id 109
110,23,1,95,6,Some Random Commen with Id 110
111,23,1,127,9,Some Random Commen with Id 111
112,23,1,95,9,Some Random Commen with Id 112
113,23,1,79,2,Some Random Commen with Id 113
114,24,6,73,0,Some Random Commen with Id 114
115,24,6,77,1,Some Random Commen with Id 115
116,24,6,130,0,Some Random Commen with Id 116
117,24,6,136,6,Some Random Commen with Id 117
118,25,5,69,3,Some Random Commen with Id 118
119,25,5,155,9,Some Random Commen with Id 119
120,25,5,183,1,Some Random Commen with Id 120
121,25,5,9,6,Some Random Commen with Id 121
122,25,5,107,3,Some Random Commen with Id 122
123,25,5,95,7,Some Random Commen with Id 123
124,25,5,14,2,Some Random Commen with Id 124
125,25,5,91,8,Some Random Commen with Id 125
126,25,5,1,9,Some Random Commen with Id 126
127,26,4,138,5,Some Random Commen with Id 127
128,26,4,79,5,Some Random Commen with Id 128
129,26,4,40,1,Some Random Commen with Id 129
130,26,4,105,8,Some Random Commen with Id 130
131,26,4,139,5,Some Random Commen with Id 131
132,26,4,51,7,Some Random Commen with Id 132
133,27,1,31,4,Some Random Commen with Id 133
134,27,1,89,6,Some Random Commen with Id 134
135,27,1,59,2,Some Random Commen with Id 135
136,27,1,191,3,Some Random Commen with Id 136
137,27,1,128,9,Some Random Commen with Id 137
138,27,1,152,5,Some Random Commen with Id 138
139,27,1,0,7,Some Random Commen with Id 139
140,27,1,76,0,Some Random Commen with Id 140
141,27,1,21,5,Some Random Commen with Id 141
142,29,0,81,9,Some Random Commen with Id 142
143,29,0,97,6,Some Random Commen with Id 143
144,29,0,18,0,Some Random Commen with Id 144
145,29,0,105,4,Some Random Commen with Id 145
146,29,0,33,3,Some Random Commen with Id 146
147,29,0,96,2,Some Random Commen with Id 147
148,29,0,44,6,Some Random Commen with Id 148
149,29,0,21,5,Some Random Commen with Id 149
150,29,0,66,5,Some Random Commen with Id 150
151,30,1,50,5,Some Random Commen with Id 151
152,30,1,147,9,Some Random Commen with Id 152
153,31,1,1,8,Some Random Commen with Id 153
154,31,1,142,4,Some Random Commen with Id 154
155,31,1,128,0,Some Random Commen with Id 155
156,31,1,13,6,Some Random Commen with Id 156
157,31,1,21,2,Some Random Commen with Id 157
158,32,0,157,4,Some Random Commen with Id 158
159,34,0,46,1,Some Random Commen with Id 159
160,34,0,147,9,Some Random Commen with Id 160
161,34,0,66,2,Some Random Commen with Id 161
162,34,0,133,1,Some Random Commen with Id 162
163,34,0,190,6,Some Random Commen with Id 163
164,34,0,102,4,Some Random Commen with Id 164
165,35,0,129,2,Some Random Commen with Id 165
166,36,4,108,5,Some Random Commen with Id 166
167,36,4,134,7,Some Random Commen with Id 167
168,36,4,42,9,Some Random Commen with Id 168
169,36,4,7,0,Some Random Commen with Id 169
170,36,4,93,0,Some Random Commen with Id 170
171,36,4,91,0,Some Random Commen with Id 171
172,36,4,189,9,Some Random Commen with Id 172
173,36,4,185,4,Some Random Commen with Id 173
174,36,4,26,1,Some Random Commen with Id 174
175,37,3,18,8,Some Random Commen with Id 175
176,37,3,121,7,Some Random Commen with Id 176
177,38,3,79,0,Some Random Commen with Id 177
178,39,6,194,1,Some Random Commen with Id 178
