Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,4,98,6,Some Random Commen with Id 0
1,1,4,66,2,Some Random Commen with Id 1
2,2,7,168,8,Some Random Commen with Id 2
3,2,7,45,0,Some Random Commen with Id 3
4,2,7,158,7,Some Random Commen with Id 4
5,2,7,158,7,Some Random Commen with Id 5
6,2,7,11,2,Some Random Commen with Id 6
7,2,7,154,0,Some Random Commen with Id 7
8,2,7,151,9,Some Random Commen with Id 8
9,3,5,138,1,Some Random Commen with Id 9
10,3,5,189,4,Some Random Commen with Id 10
11,3,5,192,0,Some Random Commen with Id 11
12,3,5,113,8,Some Random Commen with Id 12
13,3,5,155,5,Some Random Commen with Id 13
14,3,5,72,3,Some Random Commen with Id 14
15,3,5,93,1,Some Random Commen with Id 15
16,3,5,59,4,Some Random Commen with Id 16
17,4,3,131,9,Some Random Commen with Id 17
18,4,3,35,4,Some Random Commen with Id 18
19,5,3,3,0,Some Random Commen with Id 19
20,5,3,74,4,Some Random Commen with Id 20
21,5,3,117,8,Some Random Commen with Id 21
22,5,3,173,1,Some Random Commen with Id 22
23,5,3,19,1,Some Random Commen with Id 23
24,6,9,107,9,Some Random Commen with Id 24
25,6,9,120,9,Some Random Commen with Id 25
26,6,9,184,2,Some Random Commen with Id 26
27,6,9,185,4,Some Random Commen with Id 27
28,6,9,170,9,Some Random Commen with Id 28
29,7,1,33,0,Some Random Commen with Id 29
30,7,1,57,9,Some Random Commen with Id 30
31,7,1,153,0,Some Random Commen with Id 31
32,7,1,82,5,Some Random Commen with Id 32
33,7,1,82,5,Some Random Commen with Id 33
34,8,1,127,9,Some Random Commen with Id 34
35,8,1,177,3,Some Random Commen with Id 35
36,8,1,89,8,Some Random Commen with Id 36
37,8,1,70,7,Some Random Commen with Id 37
38,9,0,4,3,Some Random Commen with Id 38
39,9,0,109,9,Some Random Commen with Id 39
40,9,0,105,2,Some Random Commen with Id 40
41,9,0,151,1,Some Random Commen with Id 41
42,9,0,184,0,Some Random Commen with Id 42
43,9,0,24,2,Some Random Commen with Id 43
44,9,0,67,2,Some Random Commen with Id 44
45,9,0,187,2,Some Random Commen with Id 45
46,9,0,28,3,Some Random Commen with Id 46
47,10,6,152,4,Some Random Commen with Id 47
48,10,6,187,2,Some Random Commen with Id 48
49,10,6,136,6,Some Random Commen with Id 49
50,10,6,7,5,Some Random Commen with Id 50
51,10,6,70,2,Some Random Commen with Id 51
52,10,6,196,9,Some Random Commen with Id 52
53,11,6,24,6,Some Random Commen with Id 53
54,11,6,140,6,Some Random Commen with Id 54
55,11,6,47,2,Some Random Commen with Id 55
56,11,6,1,3,Some Random Commen with Id 56
57,11,6,129,3,Some Random Commen with Id 57
58,11,6,109,4,Some Random Commen with Id 58
59,11,6,85,3,Some Random Commen with Id 59
60,13,1,108,0,Some Random Commen with Id 60
61,13,1,117,0,Some Random Commen with Id 61
62,13,1,176,5,Some Random Commen with Id 62
63,13,1,153,4,Some Random Commen with Id 63
64,13,1,152,4,Some Random Commen with Id 64
65,13,1,34,3,Some Random Commen with Id 65
66,13,1,82,7,Some Random Commen with Id 66
67,13,1,196,4,Some Random Commen with Id 67
68,13,1,175,7,Some Random Commen with Id 68
69,15,1,120,1,Some Random Commen with Id 69
70,15,1,51,7,Some Random Commen with Id 70
71,15,1,148,3,Some Random Commen with Id 71
72,15,1,163,9,Some Random Commen with Id 72
73,15,1,160,2,Some Random Commen with Id 73
74,15,1,18,0,Some Random Commen with Id 74
75,15,1,24,7,Some Random Commen with Id 75
76,15,1,74,5,Some Random Commen with Id 76
77,15,1,18,1,Some Random Commen with Id 77
78,16,1,78,3,Some Random Commen with Id 78
79,16,1,68,0,Some Random Commen with Id 79
80,16,1,101,5,Some Random Commen with Id 80
81,16,1,12,1,Some Random Commen with Id 81
82,16,1,66,8,Some Random Commen with Id 82
83,16,1,52,0,Some Random Commen with Id 83
84,16,1,177,4,Some Random Commen with Id 84
85,17,2,51,4,Some Random Commen with Id 85
86,17,2,193,1,Some Random Commen with Id 86
87,17,2,147,9,Some Random Commen with Id 87
88,17,2,29,2,Some Random Commen with Id 88
89,17,2,152,6,Some Random Commen with Id 89
90,17,2,181,1,Some Random Commen with Id 90
91,18,9,66,7,Some Random Commen with Id 91
92,18,9,181,9,Some Random Commen with Id 92
93,18,9,162,2,Some Random Commen with Id 93
94,18,9,182,7,Some Random Commen with Id 94
95,18,9,105,0,Some Random Commen with Id 95
96,18,9,157,9,Some Random Commen with Id 96
97,18,9,61,5,Some Random Commen with Id 97
98,18,9,96,7,Some Random Commen with Id 98
99,19,1,134,7,Some Random Commen with Id 99
100,19,1,13,7,Some Random Commen with Id 100
101,19,1,88,2,Some Random Commen with Id 101
102,19,1,32,0,Some Random Commen with Id 102
103,19,1,162,8,Some Random Commen with Id 103
104,19,1,139,0,Some Random Commen with Id 104
105,19,1,133,4,Some Random Commen with Id 105
106,19,1,10,6,Some Random Commen with Id 106
107,19,1,10,8,Some Random Commen with Id 107
108,20,3,44,1,Some Random Commen with Id 108
109,20,3,49,2,Some Random Commen with Id 109
110,20,3,59,9,Some Random Commen with Id 110
111,20,3,37,0,Some Random Commen with Id 111
112,21,3,184,3,Some Random Commen with Id 112
113,21,3,162,9,Some Random Commen with Id 113
114,21,3,149,1,Some Random Commen with Id 114
115,21,3,37,9,Some Random Commen with Id 115
116,21,3,193,6,Some Random Commen with Id 116
117,21,3,193,3,Some Random Commen with Id 117
118,22,1,94,2,Some Random Commen with Id 118
119,22,1,156,5,Some Random Commen with Id 119
120,22,1,178,9,Some Random Commen with Id 120
121,22,1,189,4,Some Random Commen with Id 121
122,24,6,40,6,Some Random Commen with Id 122
123,24,6,198,4,Some Random Commen with Id 123
124,24,6,183,6,Some Random Commen with Id 124
125,24,6,159,4,Some Random Commen with Id 125
126,24,6,163,1,Some Random Commen with Id 126
127,25,2,124,3,Some Random Commen with Id 127
128,25,2,44,2,Some Random Commen with Id 128
129,25,2,50,0,Some Random Commen with Id 129
130,25,2,107,9,Some Random Commen with Id 130
131,25,2,127,2,Some Random Commen with Id 131
132,25,2,157,4,Some Random Commen with Id 132
133,25,2,0,9,Some Random Commen with Id 133
134,26,4,24,6,Some Random Commen with Id 134
135,27,6,97,8,Some Random Commen with Id 135
136,27,6,21,9,Some Random Commen with Id 136
137,27,6,112,7,Some Random Commen with Id 137
138,28,0,179,5,Some Random Commen with Id 138
139,28,0,171,8,Some Random Commen with Id 139
140,28,0,74,4,Some Random Commen with Id 140
141,28,0,43,4,Some Random Commen with Id 141
142,28,0,120,1,Some Random Commen with Id 142
143,28,0,28,0,Some Random Commen with Id 143
144,29,2,16,8,Some Random Commen with Id 144
145,29,2,48,1,Some Random Commen with Id 145
146,29,2,131,8,Some Random Commen with Id 146
147,29,2,53,1,Some Random Commen with Id 147
148,29,2,36,8,Some Random Commen with Id 148
149,29,2,193,6,Some Random Commen with Id 149
150,30,1,102,3,Some Random Commen with Id 150
151,30,1,9,2,Some Random Commen with Id 151
152,30,1,56,9,Some Random Commen with Id 152
153,30,1,194,4,Some Random Commen with Id 153
154,31,5,108,8,Some Random Commen with Id 154
155,31,5,119,2,Some Random Commen with Id 155
156,31,5,65,7,Some Random Commen with Id 156
157,31,5,193,3,Some Random Commen with Id 157
158,32,1,127,4,Some Random Commen with Id 158
159,32,1,117,0,Some Random Commen with Id 159
160,32,1,87,9,Some Random Commen with Id 160
161,32,1,48,7,Some Random Commen with Id 161
162,32,1,157,8,Some Random Commen with Id 162
163,32,1,36,0,Some Random Commen with Id 163
164,32,1,7,6,Some Random Commen with Id 164
165,32,1,141,4,Some Random Commen with Id 165
166,32,1,142,8,Some Random Commen with Id 166
167,33,9,115,8,Some Random Commen with Id 167
168,33,9,145,0,Some Random Commen with Id 168
169,33,9,20,5,Some Random Commen with Id 169
170,33,9,133,6,Some Random Commen with Id 170
171,33,9,74,7,Some Random Commen with Id 171
172,33,9,116,4,Some Random Commen with Id 172
173,33,9,48,1,Some Random Commen with Id 173
174,34,5,194,5,Some Random Commen with Id 174
175,34,5,148,9,Some Random Commen with Id 175
176,35,7,51,6,Some Random Commen with Id 176
177,35,7,77,8,Some Random Commen with Id 177
178,35,7,68,9,Some Random Commen with Id 178
179,35,7,160,4,Some Random Commen with Id 179
180,35,7,100,4,Some Random Commen with Id 180
181,35,7,54,1,Some Random Commen with Id 181
182,35,7,16,9,Some Random Commen with Id 182
183,35,7,154,2,Some Random Commen with Id 183
184,38,7,176,7,Some Random Commen with Id 184
185,38,7,123,7,Some Random Commen with Id 185
186,38,7,66,2,Some Random Commen with Id 186
187,38,7,171,4,Some Random Commen with Id 187
188,38,7,126,6,Some Random Commen with Id 188
189,38,7,33,9,Some Random Commen with Id 189
190,38,7,85,0,Some Random Commen with Id 190
191,39,0,18,6,Some Random Commen with Id 191
192,39,0,55,5,Some Random Commen with Id 192
193,39,0,24,7,Some Random Commen with Id 193
194,39,0,148,1,Some Random Commen with Id 194
195,39,0,150,7,Some Random Commen with Id 195
196,39,0,53,5,Some Random Commen with Id 196
